"","team_api_id","team_long_name","BuildUpAll","ChanceUpAll","DefUpAll","GoalTotal"
"1",1601,"Ruch Chorzów",70,155,175,280
"2",1601,"Ruch Chorzów",99,186,144,280
"3",1601,"Ruch Chorzów",108,159,136,280
"4",1601,"Ruch Chorzów",108,159,136,280
"5",1601,"Ruch Chorzów",139,181,136,280
"6",1601,"Ruch Chorzów",133,176,136,280
"7",1773,"Oud-Heverlee Leuven",102,157,137,126
"8",1773,"Oud-Heverlee Leuven",102,157,137,126
"9",1773,"Oud-Heverlee Leuven",153,157,137,126
"10",1957,"Jagiellonia Białystok",80,150,210,287
"11",1957,"Jagiellonia Białystok",85,151,140,287
"12",1957,"Jagiellonia Białystok",127,163,141,287
"13",1957,"Jagiellonia Białystok",127,163,141,287
"14",1957,"Jagiellonia Białystok",130,146,162,287
"15",1957,"Jagiellonia Białystok",158,152,162,287
"16",2033,"S.C. Olhanense",100,155,155,138
"17",2033,"S.C. Olhanense",120,165,130,138
"18",2033,"S.C. Olhanense",85,134,105,138
"19",2033,"S.C. Olhanense",97,133,112,138
"20",2033,"S.C. Olhanense",147,134,105,138
"21",2182,"Lech Poznań",75,155,160,372
"22",2182,"Lech Poznań",121,186,144,372
"23",2182,"Lech Poznań",121,185,157,372
"24",2182,"Lech Poznań",121,185,157,372
"25",2182,"Lech Poznań",176,185,157,372
"26",2182,"Lech Poznań",147,196,153,372
"27",2183,"P. Warszawa",70,155,175,184
"28",2183,"P. Warszawa",80,162,140,184
"29",2183,"P. Warszawa",79,180,113,184
"30",2183,"P. Warszawa",79,131,139,184
"31",2186,"Cracovia",75,140,205,235
"32",2186,"Cracovia",97,148,144,235
"33",2186,"Cracovia",116,168,163,235
"34",2186,"Cracovia",125,165,157,235
"35",2186,"Cracovia",125,165,157,235
"36",4087,"Évian Thonon Gaillard FC",100,180,165,180
"37",4087,"Évian Thonon Gaillard FC",97,168,153,180
"38",4087,"Évian Thonon Gaillard FC",97,168,153,180
"39",4087,"Évian Thonon Gaillard FC",156,161,153,180
"40",4087,"Évian Thonon Gaillard FC",149,164,140,180
"41",4170,"US Boulogne Cote D'Opale",75,150,200,31
"42",4170,"US Boulogne Cote D'Opale",85,165,155,31
"43",4170,"US Boulogne Cote D'Opale",86,154,155,31
"44",6269,"Novara",88,163,151,34
"45",6269,"Novara",105,150,130,34
"46",6269,"Novara",128,172,147,34
"47",6269,"Novara",179,168,138,34
"48",6351,"KAS Eupen",105,160,155,28
"49",6391,"GFC Ajaccio",113,179,146,37
"50",6391,"GFC Ajaccio",153,163,141,37
"51",6403,"FC Paços de Ferreira",60,170,90,292
"52",6403,"FC Paços de Ferreira",100,148,150,292
"53",6403,"FC Paços de Ferreira",77,157,143,292
"54",6403,"FC Paços de Ferreira",89,157,139,292
"55",6403,"FC Paços de Ferreira",117,157,139,292
"56",6403,"FC Paços de Ferreira",142,169,139,292
"57",6413,"PEC Zwolle",96,154,141,204
"58",6413,"PEC Zwolle",137,161,181,204
"59",6413,"PEC Zwolle",136,165,181,204
"60",6421,"Leixões SC",60,165,90,55
"61",6433,"Go Ahead Eagles",144,132,141,74
"62",6433,"Go Ahead Eagles",160,131,141,74
"63",6493,"AC Bellinzona",90,175,150,128
"64",6493,"AC Bellinzona",101,148,138,128
"65",6547,"FC Penafiel",147,146,121,29
"66",6631,"FC Dordrecht",134,176,164,24
"67",7730,"FC Lausanne-Sports",90,160,165,99
"68",7730,"FC Lausanne-Sports",86,160,141,99
"69",7730,"FC Lausanne-Sports",100,160,141,99
"70",7730,"FC Lausanne-Sports",141,164,145,99
"71",7788,"SC Cambuur",126,159,138,119
"72",7788,"SC Cambuur",136,134,138,119
"73",7794,"SC Bastia",85,140,210,165
"74",7794,"SC Bastia",100,150,139,165
"75",7794,"SC Bastia",100,150,139,165
"76",7794,"SC Bastia",171,156,134,165
"77",7794,"SC Bastia",174,156,147,165
"78",7819,"SM Caen",95,155,205,220
"79",7819,"SM Caen",100,165,165,220
"80",7819,"SM Caen",100,155,143,220
"81",7819,"SM Caen",100,155,143,220
"82",7819,"SM Caen",157,155,136,220
"83",7819,"SM Caen",157,155,136,220
"84",7841,"Rio Ave FC",60,160,90,248
"85",7841,"Rio Ave FC",100,180,140,248
"86",7841,"Rio Ave FC",74,168,131,248
"87",7841,"Rio Ave FC",74,168,131,248
"88",7841,"Rio Ave FC",157,177,153,248
"89",7841,"Rio Ave FC",157,177,153,248
"90",7842,"Estoril Praia",118,139,150,167
"91",7842,"Estoril Praia",174,139,150,167
"92",7842,"Estoril Praia",167,139,150,167
"93",7844,"Vitória Guimarães",60,165,90,300
"94",7844,"Vitória Guimarães",112,164,158,300
"95",7844,"Vitória Guimarães",79,179,177,300
"96",7844,"Vitória Guimarães",79,179,173,300
"97",7844,"Vitória Guimarães",131,173,141,300
"98",7844,"Vitória Guimarães",131,173,141,300
"99",7869,"Córdoba CF",60,140,105,22
"100",7869,"Córdoba CF",80,128,122,22
"101",7869,"Córdoba CF",93,159,129,22
"102",7869,"Córdoba CF",93,159,129,22
"103",7869,"Córdoba CF",146,154,129,22
"104",7869,"Córdoba CF",141,171,129,22
"105",7878,"Granada CF",105,168,170,179
"106",7878,"Granada CF",85,200,162,179
"107",7878,"Granada CF",89,200,162,179
"108",7878,"Granada CF",151,187,158,179
"109",7878,"Granada CF",166,175,155,179
